Eksperyment,Numer proby,Zgodnosc bodzca,Reakcja,Bodziec,Kolor bodzca,Poprawnosc odpowiedzi,Czas reakcji
False,1,True,Uplynal czas reakcji,Żółty,#FFFF00,False,3.00001970003359
False,2,False,Uplynal czas reakcji,Czerwony,#FFFF00,False,3.000012799864635
False,3,False,Uplynal czas reakcji,@#$%&,#00FF00,False,3.000032000010833
False,4,False,Uplynal czas reakcji,@#$%&,#0000FF,False,3.0000115998554975
False,5,True,Uplynal czas reakcji,Zielony,#00FF00,False,3.0000200998038054
True,1,False,Uplynal czas reakcji,Niebieski,#FF0000,False,3.0000253999605775
True,2,False,Uplynal czas reakcji,@#$%&,#FFFF00,False,3.0000227000564337
True,3,False,Uplynal czas reakcji,@#$%&,#FF0000,False,3.0000052000395954
True,4,True,Uplynal czas reakcji,Zielony,#00FF00,False,3.000021900050342
True,5,False,Uplynal czas reakcji,Czerwony,#0000FF,False,3.000026799971238
True,6,True,Uplynal czas reakcji,Zielony,#00FF00,False,3.0000070000533015
True,7,True,Uplynal czas reakcji,Żółty,#FFFF00,False,3.0000087001826614
True,8,False,Uplynal czas reakcji,Czerwony,#0000FF,False,3.000032300129533
True,9,False,Uplynal czas reakcji,@#$%&,#FFFF00,False,3.0000332000199705
True,10,False,Uplynal czas reakcji,Czerwony,#00FF00,False,3.000022399937734
True,1,False,Uplynal czas reakcji,Niebieski,#FFFF00,False,3.000016100006178
True,2,False,Uplynal czas reakcji,@#$%&,#FFFF00,False,3.000020599924028
True,3,False,Uplynal czas reakcji,@#$%&,#FFFF00,False,3.0000233999453485
True,4,True,Uplynal czas reakcji,Zielony,#00FF00,False,3.0000273000914603
True,5,False,Uplynal czas reakcji,Niebieski,#00FF00,False,3.0000504998024553
True,6,False,Uplynal czas reakcji,@#$%&,#00FF00,False,3.00004699989222
True,7,True,Uplynal czas reakcji,Niebieski,#0000FF,False,3.00000760005787
True,8,False,Uplynal czas reakcji,Zielony,#FFFF00,False,3.0000070999376476
True,9,False,Uplynal czas reakcji,Żółty,#FF0000,False,3.0000091998372227
True,10,False,Uplynal czas reakcji,@#$%&,#FFFF00,False,3.0000048999208957
True,1,False,Uplynal czas reakcji,@#$%&,#0000FF,False,3.000023999949917
True,2,False,Uplynal czas reakcji,Zielony,#FF0000,False,3.0000129998661578
True,3,True,Uplynal czas reakcji,Żółty,#FFFF00,False,3.000013400102034
True,4,False,Uplynal czas reakcji,Czerwony,#FFFF00,False,3.0000153000000864
True,5,False,Uplynal czas reakcji,Zielony,#0000FF,False,3.000010099960491
True,6,False,Uplynal czas reakcji,Żółty,#00FF00,False,3.0000197999179363
True,7,True,Uplynal czas reakcji,Zielony,#00FF00,False,3.0000175000168383
True,8,True,Uplynal czas reakcji,Żółty,#FFFF00,False,3.0000114999711514
True,9,False,Uplynal czas reakcji,Żółty,#00FF00,False,3.000026499852538
True,10,False,Uplynal czas reakcji,Zielony,#0000FF,False,3.0000233000610024
